time,ongoing_trips,date_snapshot
2025-02-24 22:00:00,25,20250224
2025-02-24 23:00:00,12,20250224
2025-02-25 00:00:00,3,20250224
2025-02-25 01:00:00,0,20250224
2025-02-25 02:00:00,0,20250224
2025-02-25 03:00:00,0,20250224
2025-02-25 04:00:00,0,20250224
2025-02-25 05:00:00,8,20250224
2025-02-25 06:00:00,55,20250224
2025-02-25 07:00:00,93,20250224
2025-02-25 08:00:00,104,20250224
2025-02-25 09:00:00,99,20250224
2025-02-25 10:00:00,89,20250224
2025-02-25 11:00:00,81,20250224
2025-02-25 12:00:00,66,20250224
2025-02-25 13:00:00,62,20250224
2025-02-25 14:00:00,60,20250224
2025-02-25 15:00:00,75,20250224
2025-02-25 16:00:00,108,20250224
2025-02-25 17:00:00,114,20250224
2025-02-25 18:00:00,103,20250224
2025-02-25 19:00:00,96,20250224
2025-02-25 20:00:00,73,20250224
2025-02-25 21:00:00,52,20250224
2025-02-25 22:00:00,27,20250224
2025-02-25 23:00:00,11,20250224
2025-02-26 00:00:00,2,20250224
2025-02-26 01:00:00,0,20250224
2025-02-26 02:00:00,0,20250224
2025-02-26 03:00:00,0,20250224
2025-02-26 04:00:00,0,20250224
2025-02-26 05:00:00,12,20250224
2025-02-26 06:00:00,76,20250224
2025-02-26 07:00:00,136,20250224
2025-02-26 08:00:00,146,20250224
2025-02-26 09:00:00,141,20250224
2025-02-26 10:00:00,120,20250224
2025-02-26 11:00:00,104,20250224
2025-02-26 12:00:00,86,20250224
2025-02-26 13:00:00,71,20250224
2025-02-26 14:00:00,72,20250224
2025-02-26 15:00:00,98,20250224
2025-02-26 16:00:00,138,20250224
2025-02-26 17:00:00,157,20250224
2025-02-26 18:00:00,152,20250224
2025-02-26 19:00:00,132,20250224
2025-02-26 20:00:00,116,20250224
2025-02-26 21:00:00,80,20250224
2025-02-26 22:00:00,50,20250224
2025-02-26 23:00:00,24,20250224
2025-02-27 00:00:00,5,20250224
2025-02-27 01:00:00,1,20250224
2025-02-27 02:00:00,0,20250224
2025-02-27 03:00:00,0,20250224
2025-02-27 04:00:00,0,20250224
2025-02-27 05:00:00,18,20250224
2025-02-27 06:00:00,120,20250224
2025-02-27 07:00:00,195,20250224
2025-02-27 08:00:00,212,20250224
2025-02-27 09:00:00,201,20250224
2025-02-27 10:00:00,180,20250224
2025-02-27 11:00:00,156,20250224
2025-02-27 12:00:00,129,20250224
2025-02-27 13:00:00,101,20250224
2025-02-27 14:00:00,107,20250224
2025-02-27 15:00:00,136,20250224
2025-02-27 16:00:00,187,20250224
2025-02-27 17:00:00,209,20250224
2025-02-27 18:00:00,204,20250224
2025-02-27 19:00:00,190,20250224
2025-02-27 20:00:00,167,20250224
2025-02-27 21:00:00,118,20250224
2025-02-27 22:00:00,73,20250224
2025-02-27 23:00:00,34,20250224
2025-02-28 00:00:00,8,20250224
2025-02-28 01:00:00,2,20250224
2025-02-28 02:00:00,0,20250224
2025-02-28 03:00:00,0,20250224
2025-02-28 04:00:00,0,20250224
2025-02-28 05:00:00,18,20250224
2025-02-28 06:00:00,120,20250224
2025-02-28 07:00:00,195,20250224
2025-02-28 08:00:00,212,20250224
2025-02-28 09:00:00,202,20250224
2025-02-28 10:00:00,180,20250224
2025-02-28 11:00:00,156,20250224
2025-02-28 12:00:00,127,20250224
2025-02-28 13:00:00,99,20250224
2025-02-28 14:00:00,106,20250224
2025-02-28 15:00:00,136,20250224
2025-02-28 16:00:00,187,20250224
2025-02-28 17:00:00,208,20250224
2025-02-28 18:00:00,203,20250224
2025-02-28 19:00:00,190,20250224
2025-02-28 20:00:00,168,20250224
2025-02-28 21:00:00,118,20250224
2025-02-28 22:00:00,73,20250224
2025-02-28 23:00:00,34,20250224
2025-03-01 00:00:00,9,20250224
2025-03-01 01:00:00,3,20250224
2025-03-01 02:00:00,0,20250224
2025-03-01 03:00:00,0,20250224
2025-03-01 04:00:00,0,20250224
2025-03-01 05:00:00,5,20250224
2025-03-01 06:00:00,29,20250224
2025-03-01 07:00:00,97,20250224
2025-03-01 08:00:00,118,20250224
2025-03-01 09:00:00,134,20250224
2025-03-01 10:00:00,129,20250224
2025-03-01 11:00:00,131,20250224
2025-03-01 12:00:00,119,20250224
2025-03-01 13:00:00,104,20250224
2025-03-01 14:00:00,96,20250224
2025-03-01 15:00:00,105,20250224
2025-03-01 16:00:00,114,20250224
2025-03-01 17:00:00,120,20250224
2025-03-01 18:00:00,124,20250224
2025-03-01 19:00:00,136,20250224
2025-03-01 20:00:00,125,20250224
2025-03-01 21:00:00,124,20250224
2025-03-01 22:00:00,89,20250224
2025-03-01 23:00:00,55,20250224
2025-03-02 00:00:00,18,20250224
2025-03-02 01:00:00,3,20250224
2025-03-02 02:00:00,0,20250224
2025-03-02 03:00:00,0,20250224
2025-03-02 04:00:00,0,20250224
2025-03-02 05:00:00,5,20250224
2025-03-02 06:00:00,29,20250224
2025-03-02 07:00:00,91,20250224
2025-03-02 08:00:00,112,20250224
2025-03-02 09:00:00,127,20250224
2025-03-02 10:00:00,121,20250224
2025-03-02 11:00:00,121,20250224
2025-03-02 12:00:00,109,20250224
2025-03-02 13:00:00,95,20250224
2025-03-02 14:00:00,90,20250224
2025-03-02 15:00:00,100,20250224
2025-03-02 16:00:00,112,20250224
2025-03-02 17:00:00,119,20250224
2025-03-02 18:00:00,124,20250224
2025-03-02 19:00:00,132,20250224
2025-03-02 20:00:00,125,20250224
2025-03-02 21:00:00,123,20250224
2025-03-02 22:00:00,91,20250224
